"1","b40493","sometimes","sometimes","often","sometimes","sometimes","sometimes","43"
"2","2e713e","often","often","always","always","always","always","20"
"3","cbd05f","always","often","often","always","often","often","43"
"4","c9b4","always","sometimes","always","often","sometimes","sometimes","32"
"5","eaefae","often","sometimes","often","sometimes","sometimes","never","22"
"6","67aab1","always","often","always","often","often","always","35"
"7","9246","always","always","always","always","always","sometimes","33"
"8","24d8","always","always","always","always","always","always","19"
"9","ef8f8e","often","sometimes","always","often","rarely","often","26"
"10","3ba38e","always","always","always","always","always","often","17"
"11","27e0","rarely","often","always","often","often","rarely","18"
