"1","908a","do not consent","The risk of disclosure.","false","true","A","","","D","A","","","","false","","","","","E","D","B","true","","B","","","C","","B","","","false","A","B","C","D","false","D","D","C","C","D","C","It was easy to read.","There was a lot of information that required reading more than once at times.","loss_of_privacy=0,links_to_ongoing_or_unsolved_criminal_investigations=1,identifiability=2,unintended_public_disclosure=3,genetic_discrimination=4,unwanted_ancestry_discovery=5,cost_and_risks_of_clinical_follow-up_and_care=6,misinterpretation_of_genomic_information=7,anxiety_or_stress_due_to_discovery_of_disease_risk=8,unanticipated_research_topics=9,ambiguous_or_erroneous_data=10,carrier_status=11","individual_and_family_health=0,carrier_status=1,advance_genetics,_science,_and_health_research=2,education_and_awareness_about_genomic_testing=3,plan_for_the_future=4,ancestry_discovery=5,reduce_genetic_discrimination=6","650"
"2","bfbfef","consent","Although, I worry about my privacy and the potential to have my information shared publicly by hackers, I would choose to participate in this study. As an African American, I would feel the benefits of this study far outweigh the risk. I do not know much about my ancestry and this would be a great way to determine where my ancestors came from and possibly visit those locations. I would like to know if I am a carrier and could potential pass down a serious illness to my children. I would use the information from this study to learn more about my health history and plan for the future. I would like to know if I am at risk for developing any illness and how it will affect other family members. I would want to be educated on my status and learn more about the risk of developing certain diseases. ","true","true","A","","","D","A","","","","false","A","","C","","E","C","B","false","","B","","","C","","B","","","false","A","B","C","","false","D","D","C","D","D","C","I liked how concise and detailed this study was. I found the consent form answered all the questions I might have asked. The consent form detailed how my information will be stored, who will have access to it, how it will be used as well as some risks to completing the overall study. I felt the consent form was written to inform and I learned a lot from reading it. ","I felt that the consent form could have used a bit more blank space between sections. Midway through reading the consent form, I thought it was never going to end. The form needed to be written with a more effective and structured of blank space usage. ","loss_of_privacy=0,misinterpretation_of_genomic_information=1,unintended_public_disclosure=2,ambiguous_or_erroneous_data=3,anxiety_or_stress_due_to_discovery_of_disease_risk=4,unanticipated_research_topics=5,carrier_status=6,unwanted_ancestry_discovery=7,identifiability=8,cost_and_risks_of_clinical_follow-up_and_care=9,genetic_discrimination=10,links_to_ongoing_or_unsolved_criminal_investigations=11","individual_and_family_health=0,plan_for_the_future=1,carrier_status=2,ancestry_discovery=3,advance_genetics,_science,_and_health_research=4,education_and_awareness_about_genomic_testing=5,reduce_genetic_discrimination=6","1173"
"3","d0cc61","consent","The possible risks and rewards, down to even the most minute and unlikely, are clearly laid out. After reading everything thoroughly, it is clear that all has been thought out, risks seem minimal and the information it could provide, as well as potential to be beneficial to humankind, seems worth it.","false","true","A","","","D","A","","","D","false","","","","","","C","C","true","","B","","","C","","B","C","","false","A","B","C","D","false","D","D","B","B","C","C","It very thoroughly described all risks and potential benefits, and it also stated that I had not given up any of my legal rights.","It was a little difficult to read at times, perhaps only because it was so long. However, that's the reason why it was so thorough and with a topic like this, that's important.","identifiability=0,unintended_public_disclosure=1,loss_of_privacy=2,genetic_discrimination=3,anxiety_or_stress_due_to_discovery_of_disease_risk=4,misinterpretation_of_genomic_information=5,ambiguous_or_erroneous_data=6,unwanted_ancestry_discovery=7,unanticipated_research_topics=8,links_to_ongoing_or_unsolved_criminal_investigations=9,cost_and_risks_of_clinical_follow-up_and_care=10,carrier_status=11","advance_genetics,_science,_and_health_research=0,education_and_awareness_about_genomic_testing=1,ancestry_discovery=2,plan_for_the_future=3,individual_and_family_health=4,reduce_genetic_discrimination=5,carrier_status=6","963"
"4","c2ee74","do not consent","I don't think I want to know what I am at risk for.  Once you know you are at risk for a disease you can't unknow it.","false","true","A","","","D","A","","C","D","false","","B","C","","","D","A","false","","B","","","C","","B","","","false","A","B","C","","false","D","D","B","B","B","D","Most of the consent form was clear and concise.  I like reading about what would be done with the genetic material.","I read through it once and still had a hard time finding a few of the answers.","anxiety_or_stress_due_to_discovery_of_disease_risk=0,carrier_status=1,misinterpretation_of_genomic_information=2,cost_and_risks_of_clinical_follow-up_and_care=3,ambiguous_or_erroneous_data=4,unanticipated_research_topics=5,unintended_public_disclosure=6,identifiability=7,loss_of_privacy=8,genetic_discrimination=9,unwanted_ancestry_discovery=10,links_to_ongoing_or_unsolved_criminal_investigations=11","ancestry_discovery=0,carrier_status=1,individual_and_family_health=2,education_and_awareness_about_genomic_testing=3,plan_for_the_future=4,advance_genetics,_science,_and_health_research=5,reduce_genetic_discrimination=6","1127"
"5","b509f0","consent","I think the form was very through and it covered every question that I would have if I were to really sign up for this study.","true","true","","","","D","A","","","D","false","","B","C","","E","C","D","false","","B","","","C","","B","C","","false","A","B","C","","false","D","D","C","B","C","A","I liked that everything was spelled out and it was laid out in an easy to read format","Really nothing.  It was a great consent form.","unintended_public_disclosure=0,loss_of_privacy=1,carrier_status=2,misinterpretation_of_genomic_information=3,genetic_discrimination=4,ambiguous_or_erroneous_data=5,anxiety_or_stress_due_to_discovery_of_disease_risk=6,unwanted_ancestry_discovery=7,identifiability=8,cost_and_risks_of_clinical_follow-up_and_care=9,unanticipated_research_topics=10,links_to_ongoing_or_unsolved_criminal_investigations=11","ancestry_discovery=0,individual_and_family_health=1,carrier_status=2,plan_for_the_future=3,education_and_awareness_about_genomic_testing=4,reduce_genetic_discrimination=5,advance_genetics,_science,_and_health_research=6","1093"
"6","b1704b","consent","I would like to just to contribute to science.It would be interesting to see what comes up. I don't think I would be too worried about privacy because as I get older, my attitude regarding what others think of me matters less. If I could afford to do it, I would! ","false","true","A","","","D","A","","","","false","","B","C","","","D","C","true","","B","","","C","","B","","","false","A","B","C","D","false","D","D","B","E","D","B","it seems to cover all possibilities and is easy to understand","a little long","genetic_discrimination=0,unintended_public_disclosure=1,loss_of_privacy=2,misinterpretation_of_genomic_information=3,identifiability=4,cost_and_risks_of_clinical_follow-up_and_care=5,carrier_status=6,ambiguous_or_erroneous_data=7,links_to_ongoing_or_unsolved_criminal_investigations=8,anxiety_or_stress_due_to_discovery_of_disease_risk=9,unanticipated_research_topics=10,unwanted_ancestry_discovery=11","advance_genetics,_science,_and_health_research=0,reduce_genetic_discrimination=1,education_and_awareness_about_genomic_testing=2,individual_and_family_health=3,ancestry_discovery=4,carrier_status=5,plan_for_the_future=6","1311"
"7","6ac6","consent","Knowledge is important to one's health and health/medical decisions. Knowledge is power.","false","true","","","","D","A","","","","false","","B","C","","","D","A","true","","B","","D","C","","B","C","","false","A","B","C","","false","C","B","D","B","B","C","I liked that the different &quot;sections&quot; were discussed separately and not all in one long paragraph or information all jumbled up together.","Some of the wording was hard to understand","loss_of_privacy=0,unintended_public_disclosure=1,ambiguous_or_erroneous_data=2,misinterpretation_of_genomic_information=3,unanticipated_research_topics=4,cost_and_risks_of_clinical_follow-up_and_care=5,links_to_ongoing_or_unsolved_criminal_investigations=6,unwanted_ancestry_discovery=7,anxiety_or_stress_due_to_discovery_of_disease_risk=8,identifiability=9,carrier_status=10,genetic_discrimination=11","individual_and_family_health=0,plan_for_the_future=1,ancestry_discovery=2,carrier_status=3,education_and_awareness_about_genomic_testing=4,advance_genetics,_science,_and_health_research=5,reduce_genetic_discrimination=6","1443"
"8","ef85","do not consent","It's basically of no benefit to me.  I'm not being compensated, it is going to take up a reasonable amount of my time (at least a few hours), and since I'm 44 years old and grew up with my elderly relatives, I have a pretty good idea of what kind of health risks I'm going to face as I grow older - in fact I'm starting to experience them now - so whatever the analysis reveals is unlikely to be very surprising or helpful. I don't particularly care about how much it benefits mankind or science, so that's out too.\
\
There's also the issue of (slight) risk, my information being made public, discrimination, or the chance I commit some crime and it ends up implicating me.  None of these things would dissuade me if I felt I would receive some benefit from participating, but since I already have decided i won't and don't want to do it, they're just additional reasons not to.","false","true","A","","","D","A","","","D","false","","B","C","","","D","C","true","","B","","","C","","B","C","","false","A","B","C","D","false","D","B","D","A","B","D","It was well organized and laid out in a logical manner; when I was answering the questions, I could usually anticipate where the information would be found.","It had a lot of gray areas concerning risks I *might* run; my information might be legally or illegally compromised, revealing data to third parties might disclose my identity, law enforcement might get access to my information, insurance companies might discriminate against me. If I weren't already disinclined to participate, the lack of detail about those risks might give me pause.","genetic_discrimination=0,identifiability=1,loss_of_privacy=2,unintended_public_disclosure=3,ambiguous_or_erroneous_data=4,links_to_ongoing_or_unsolved_criminal_investigations=5,misinterpretation_of_genomic_information=6,anxiety_or_stress_due_to_discovery_of_disease_risk=7,carrier_status=8,cost_and_risks_of_clinical_follow-up_and_care=9,unanticipated_research_topics=10,unwanted_ancestry_discovery=11","individual_and_family_health=0,plan_for_the_future=1,ancestry_discovery=2,carrier_status=3,reduce_genetic_discrimination=4,advance_genetics,_science,_and_health_research=5,education_and_awareness_about_genomic_testing=6","2208"
"9","f919d4","consent","The consent form covers all of the bases and raises and addresses many concerns that I would have. My main reason for agreeing is that I would want to help advance science and help others. Also, learning about my own family history and potential dangerous diseases would be nice to know.","false","true","","","","D","A","","","","false","","","C","","E","D","C","true","","B","","","C","","B","","","false","A","B","C","","false","D","D","B","D","C","B","The best part about this consent form was the fact that it was numbered and broken up in a way that you could simply scroll through to a sub heading that was of interest to you. In this way if you were only concerned about certain parts of the study you could easily find them.","The worst part about this consent form was the fact that it didn't have enough space in between each section. I think that if it was broken up more with more space in between all sections that it would be easier on the eyes. I found that after getting half way through it that I felt fatigued because of the way that the text was presented.","unintended_public_disclosure=0,cost_and_risks_of_clinical_follow-up_and_care=1,loss_of_privacy=2,misinterpretation_of_genomic_information=3,carrier_status=4,anxiety_or_stress_due_to_discovery_of_disease_risk=5,identifiability=6,links_to_ongoing_or_unsolved_criminal_investigations=7,ambiguous_or_erroneous_data=8,unwanted_ancestry_discovery=9,genetic_discrimination=10,unanticipated_research_topics=11","carrier_status=0,education_and_awareness_about_genomic_testing=1,ancestry_discovery=2,advance_genetics,_science,_and_health_research=3,individual_and_family_health=4,reduce_genetic_discrimination=5,plan_for_the_future=6","1563"
"10","679ab6","consent","I am a big believer in advancing the study of human genetics. I would enjoy knowing that I contributed in some small way to this cause.","false","true","A","","","D","A","","","D","false","","B","C","","E","D","C","true","","B","","","C","","B","","","false","A","B","C","D","false","D","D","B","C","D","B","It is clearly organized and displayed in a neat, easy to read format. It allowed me to easily find the  topics I wanted to re-read without wasting time.","I would have like a little more clarity as to who the &quot;research partners&quot; were exactly, They are third parties to the study and more information on that would have been good.","loss_of_privacy=0,anxiety_or_stress_due_to_discovery_of_disease_risk=1,carrier_status=2,ambiguous_or_erroneous_data=3,cost_and_risks_of_clinical_follow-up_and_care=4,unintended_public_disclosure=5,misinterpretation_of_genomic_information=6,unwanted_ancestry_discovery=7,unanticipated_research_topics=8,identifiability=9,links_to_ongoing_or_unsolved_criminal_investigations=10,genetic_discrimination=11","education_and_awareness_about_genomic_testing=0,reduce_genetic_discrimination=1,individual_and_family_health=2,carrier_status=3,advance_genetics,_science,_and_health_research=4,ancestry_discovery=5,plan_for_the_future=6","340"
"11","c3f133","consent","I think this is a really cool project that could help people by advancing medical technologies and knowledge of the human genome. ","true","true","A","","","D","A","","","D","false","A","B","C","","E","C","C","false","","B","","","C","","B","","","false","A","B","C","D","false","D","E","B","D","E","B","I think that it was easy to read and understand. The information was presented in a clean, easy to understand manner. I felt that it was easy to find the answers to most of the question. There was one or two I had to really look for, but even that wasn't torturous. ","I think that it would have been nice if there was a summary of key points, like No, you will not be compensated, we are not responsible for you medical care, etc etc.","ambiguous_or_erroneous_data=0,misinterpretation_of_genomic_information=1,cost_and_risks_of_clinical_follow-up_and_care=2,carrier_status=3,anxiety_or_stress_due_to_discovery_of_disease_risk=4,identifiability=5,loss_of_privacy=6,genetic_discrimination=7,unwanted_ancestry_discovery=8,unintended_public_disclosure=9,unanticipated_research_topics=10,links_to_ongoing_or_unsolved_criminal_investigations=11","advance_genetics,_science,_and_health_research=0,reduce_genetic_discrimination=1,education_and_awareness_about_genomic_testing=2,ancestry_discovery=3,individual_and_family_health=4,plan_for_the_future=5,carrier_status=6","914"
"12","449abd","consent","i would like to participate to determine if my genes predispose me to any possible disease i could develop in my lifetime","false","true","A","","","D","A","","","","false","","B","C","","","D","C","false","","B","","","C","","B","","","false","","B","C","D","false","D","D","C","D","D","B","everything was organized well enough that i could easily find the information","maybe add colored headings to make the sections stand out more and look more presentable","ambiguous_or_erroneous_data=0,identifiability=1,unintended_public_disclosure=2,loss_of_privacy=3,links_to_ongoing_or_unsolved_criminal_investigations=4,carrier_status=5,cost_and_risks_of_clinical_follow-up_and_care=6,misinterpretation_of_genomic_information=7,anxiety_or_stress_due_to_discovery_of_disease_risk=8,unwanted_ancestry_discovery=9,genetic_discrimination=10,unanticipated_research_topics=11","advance_genetics,_science,_and_health_research=0,education_and_awareness_about_genomic_testing=1,individual_and_family_health=2,carrier_status=3,ancestry_discovery=4,reduce_genetic_discrimination=5,plan_for_the_future=6","1165"
"13","3e1aef","consent","To help clarify scientific research.","false","true","A","","","D","A","B","C","D","false","","B","C","","E","D","C","true","","B","","","C","","B","C","","false","A","B","C","D","false","D","D","B","B","C","B","The format was easy to follow. The information was mostly easy to comprehend quickly.","The quantity of information and trying to process all of the small details.","identifiability=0,loss_of_privacy=1,unintended_public_disclosure=2,misinterpretation_of_genomic_information=3,ambiguous_or_erroneous_data=4,unanticipated_research_topics=5,cost_and_risks_of_clinical_follow-up_and_care=6,anxiety_or_stress_due_to_discovery_of_disease_risk=7,carrier_status=8,genetic_discrimination=9,unwanted_ancestry_discovery=10,links_to_ongoing_or_unsolved_criminal_investigations=11","reduce_genetic_discrimination=0,plan_for_the_future=1,individual_and_family_health=2,advance_genetics,_science,_and_health_research=3,education_and_awareness_about_genomic_testing=4,ancestry_discovery=5,carrier_status=6","1125"
"14","f56e83","consent","I believe the benefits - both to scientific/medical research and to myself - outweigh the risks in this case. While the idea that some other forces may gain my information is scary, it is no more likely to happen with a genome project than it is to happen when I peruse the internet or make purchases online. I feel that there are more potential benefits than risks at this point. ","false","true","A","","","D","A","","","D","false","","","C","","","D","B","true","","B","","","C","","B","C","","false","A","B","C","D","false","D","D","B","C","D","B","I like the way it was broken up and outlined in easy-to-read, organized and understandable sections. ","There really isn't much that I did not like about the form itself. ","carrier_status=0,loss_of_privacy=1,ambiguous_or_erroneous_data=2,unintended_public_disclosure=3,genetic_discrimination=4,identifiability=5,anxiety_or_stress_due_to_discovery_of_disease_risk=6,cost_and_risks_of_clinical_follow-up_and_care=7,misinterpretation_of_genomic_information=8,unanticipated_research_topics=9,links_to_ongoing_or_unsolved_criminal_investigations=10,unwanted_ancestry_discovery=11","individual_and_family_health=0,carrier_status=1,plan_for_the_future=2,advance_genetics,_science,_and_health_research=3,ancestry_discovery=4,education_and_awareness_about_genomic_testing=5,reduce_genetic_discrimination=6","1118"
