"1","908a","female","31","some college","no","no","English","","15"
"2","d0cc61","female","40","some college","no","no","English","","29"
"3","c2ee74","female","46","some college","no","no","English","","32"
"4","b509f0","female","34","bachelor degree","no","no","English","no","23"
"5","b1704b","female","59","some college","no","no","english","I am a Registered Nurse, which I do not think qualifies as working in the &quot;life sciences&quot;....","154"
"6","6ac6","female","57","high-school diploma","no","no","English","Just that it was quite interesting to learn about this which I really didn't know a lot about!","58"
"7","bfbfef","female","27","bachelor degree","no","yes","English","FEEDBACK: This study was very interesting and thought provoking. I enjoyed completing it. The study ran smoothly without errors and interruptions. I found the information presented in this study to be very attention grabbing and concrete. The study was concise and presented clearly. This study has made me very interesting in learning more about where my ancestors came from and my health history. I would be very interesting in a study like this, because I do come from a family with a family history of cancers, blood pressure, and etc. ","1246"
"8","ef85","male","44","bachelor degree","no","no","english","It was very thought provoking.\
\
Worker ID: A2WGW5Y3ZFBDEC","54"
"9","f919d4","male","25","bachelor degree","no","yes","English","I really enjoyed this hit and it got me thinking about the ways in which my own genes could help others. Though I worry about what conditions I may have, I found myself more concerned with how this information could help others and genetic research in the future.","207"
"10","679ab6","female","30","bachelor degree","yes","yes","English","No","27"
"11","c3f133","female","24","some college","no","yes","English","I think that everything was well done and easy to understand. The part in section six where you look at someone's genetic data was a little hard to read. I think it would've been a lot easier if you could zoom in on the chart.","82"
"12","449abd","male","33","some college","no","no","english","no","22"
"13","3e1aef","female","44","some college","no","yes","English","none","39"
"14","f56e83","female","36","some college","no","yes","English","Very interesting subject matter. I enjoyed reading about it and learning. ","45"
"15","d8ec4c","male","25","bachelor degree","no","yes","English","This was actually a very interesting study as I feel I have come away at least learning something and a little more of genes and their importance.","49"
"16","a4c560","male","46","high-school diploma","no","yes","english","This was intresting to hear about.","59"
"17","1cbd","female","57","some college","no","no","english","I found a great deal of interesting information that I was not aware of in this study. Public education would benefit the researchers in peoples willingness to share. ","143"
"18","8d84ad","female","31","bachelor degree","no","no","English","I really learned a lot from doing this and reading the consent form. You really opened my eyes up to how important consent forms can be and I wish you all the best in your study. ","57"
"19","268328","female","35","masters degree","no","no","english","No - I provided all my feedback on previous screens.  I had no other issues.","50"
"20","9b31","female","37","some college","no","no","English","Thank you very much for the study.  It was very informative and a pleasure to participate in.","68"
"21","17daab","female","36","bachelor degree","no","yes","English","ty","16"
"22","bb8c17","male","36","high-school diploma","no","no","English ","","21"
"23","c7e2","male","27","masters degree","no","no","english","Very interesting!","26"
"24","8a2e","female","33","some college","no","no","english","Thanks to your study I am now interested in finding out my genome for real.","34"
"25","bb5725","female","19","high-school diploma","no","no","English, Polish","Thanks for a great study!","27"
"26","8fc42f","male","23","high-school diploma","no","no","English","","17"
"27","65bf89","male","36","masters degree","yes","yes","English","Thank you for the chance to participate in an superlative survey. Not only was the material intellectually satisfying, the format was such that I could take my time and thoroughly work out my answers. ","164"
"28","a278","male","25","high-school diploma","no","no","English","","21"
"29","397aac","female","26","some college","no","no","english","thank you","20"
"30","0d1a","female","30","masters degree","no","no","english","","16"
"31","2dfc","male","39","bachelor degree","no","no","English","none","25"
"32","d47a64","female","31","some college","no","no","English","I found it to be an interesting learning experience. I think had some of the terms and risks been different, I may have agreed to the study.","68"
"33","9bfc58","female","29","bachelor degree","no","yes","English","Very interesting study indeed!","24"
"34","ab70","female","25","bachelor degree","no","yes","English","","15"
"35","73109b","female","28","masters degree","no","yes","English","no feedback","17"
"36","27f51b","female","27","some college","yes","yes","english","","19"
"37","fd246e","female","35","masters degree","no","yes","English","I would like to be contacted if this becomes available. Thank you","52"
