"1","908a","moderately","moderately","moderately","moderately","moderately","moderately","somewhat","moderately","extremely","extremely","moderately","moderately","moderately","moderately","moderately","moderately","39"
"2","c2ee74","somewhat","somewhat","moderately","moderately","somewhat","moderately","moderately","somewhat","somewhat","not","not","not","not","somewhat","somewhat","somewhat","82"
"3","bfbfef","extremely","moderately","extremely","extremely","extremely","extremely","extremely","moderately","moderately","moderately","not","not","not","slightly","extremely","extremely","75"
"4","b509f0","slightly","slightly","slightly","slightly","slightly","somewhat","not","slightly","not","not","not","not","not","slightly","not","not","93"
"5","ef85","somewhat","somewhat","somewhat","somewhat","somewhat","not","slightly","moderately","slightly","moderately","not","slightly","not","slightly","somewhat","somewhat","89"
"6","323e3c","extremely","moderately","somewhat","extremely","somewhat","somewhat","slightly","slightly","moderately","somewhat","slightly","not","not","somewhat","slightly","moderately","121"
"7","d0cc61","somewhat","moderately","moderately","extremely","somewhat","not","somewhat","moderately","slightly","not","slightly","slightly","slightly","slightly","somewhat","moderately","63"
"8","b1704b","somewhat","slightly","slightly","slightly","not","not","not","slightly","somewhat","slightly","not","not","not","somewhat","slightly","slightly","75"
"9","6ac6","moderately","extremely","extremely","extremely","extremely","moderately","extremely","extremely","extremely","extremely","moderately","somewhat","somewhat","extremely","extremely","moderately","73"
"10","f919d4","extremely","extremely","moderately","extremely","moderately","extremely","extremely","moderately","extremely","somewhat","slightly","somewhat","slightly","slightly","somewhat","somewhat","351"
"11","679ab6","extremely","somewhat","somewhat","moderately","slightly","slightly","not","somewhat","moderately","somewhat","not","not","not","somewhat","slightly","somewhat","81"
"12","449abd","extremely","moderately","moderately","extremely","extremely","moderately","moderately","moderately","moderately","somewhat","moderately","somewhat","slightly","somewhat","moderately","moderately","52"
"13","c3f133","somewhat","slightly","somewhat","slightly","somewhat","somewhat","not","not","moderately","not","somewhat","not","not","slightly","slightly","not","92"
"14","f56e83","extremely","moderately","moderately","extremely","extremely","extremely","moderately","extremely","moderately","moderately","moderately","moderately","somewhat","extremely","extremely","moderately","99"
"15","268328","moderately","somewhat","extremely","moderately","somewhat","not","extremely","extremely","extremely","moderately","moderately","somewhat","somewhat","moderately","moderately","moderately","89"
"16","d8ec4c","moderately","somewhat","somewhat","somewhat","slightly","not","slightly","slightly","slightly","slightly","not","not","not","slightly","slightly","slightly","73"
"17","3e1aef","extremely","extremely","extremely","extremely","extremely","not","slightly","extremely","extremely","not","extremely","not","extremely","not","not","extremely","96"
"18","a4c560","moderately","moderately","moderately","somewhat","somewhat","slightly","extremely","moderately","extremely","extremely","extremely","slightly","slightly","slightly","somewhat","moderately","85"
